Subject,Predicate,Object
credit risk,has dataset,loans.parquet
credit risk,has dataset,loan_applications.parquet
credit risk,has dataset,write_offs.parquet
credit risk,has dataset,customer_interactions.parquet
credit risk,has dataset,loan_securities.parquet
market risk,has dataset,market_positions.parquet
market risk,has dataset,market_risk_metrics.parquet
market risk,has dataset,instrument_prices.parquet
market risk,has dataset,market_events.parquet
liquidity risk,has dataset,liquidity_positions.parquet
liquidity risk,has dataset,funding_sources.parquet
liquidity risk,has dataset,liquidity_metrics.parquet
liquidity risk,has dataset,liquidity_events.parquet
customers.parquet,has type,customer data
loans.parquet,has type,loan data
loan_applications.parquet,has type,application data
write_offs.parquet,has type,write-off data
customer_interactions.parquet,has type,interaction data
loan_securities.parquet,has type,security data
liquidity_positions.parquet,has type,liquidity position data
funding_sources.parquet,has type,funding source data
liquidity_metrics.parquet,has type,liquidity metric data
liquidity_events.parquet,has type,liquidity event data
market_positions.parquet,has type,market position data
market_risk_metrics.parquet,has type,market risk metric data
instrument_prices.parquet,has type,instrument price data
market_events.parquet,has type,market event data
# Domain to tables (from specs)
credit risk,has_table,customers
credit risk,has_table,loans
credit risk,has_table,loan_applications
credit risk,has_table,write_offs
credit risk,has_table,credit_events
credit risk,has_table,loan_securities
liquidity risk,has_table,liquidity_positions
liquidity risk,has_table,funding_sources
liquidity risk,has_table,liquidity_metrics
liquidity risk,has_table,liquidity_events
market risk,has_table,market_positions
market risk,has_table,market_risk_metrics
market risk,has_table,instrument_prices
market risk,has_table,market_events

# Table specs mapping
customers,table_in_spec,specs/customer.md
loans,table_in_spec,specs/credit_risk.md
loan_applications,table_in_spec,specs/credit_risk.md
write_offs,table_in_spec,specs/credit_risk.md
credit_events,table_in_spec,specs/credit_risk.md
loan_securities,table_in_spec,specs/credit_risk.md
liquidity_positions,table_in_spec,specs/liquidity_risk.md
funding_sources,table_in_spec,specs/liquidity_risk.md
liquidity_metrics,table_in_spec,specs/liquidity_risk.md
liquidity_events,table_in_spec,specs/liquidity_risk.md
market_positions,table_in_spec,specs/market_risk.md
market_risk_metrics,table_in_spec,specs/market_risk.md
instrument_prices,table_in_spec,specs/market_risk.md
market_events,table_in_spec,specs/market_risk.md

# Table keys (PK/FK) and common fields
customers,has_pk,customer_id
customers,has_field,name
customers,has_field,date_of_birth
customers,has_field,address
customers,has_field,customer_since
customers,has_field,segment

loans,has_pk,loan_id
loans,has_fk,customer_id->customers.customer_id
loans,has_field,as_of_date
loans,has_field,loan_amount
loans,has_field,credit_rating
loans,has_field,lgd_rating
loans,has_field,ead
loans,has_field,rwa
loans,has_field,capital
loans,has_field,provisions
loans,has_field,arrears
loans,has_field,sales_channel
loans,has_field,industry
loans,has_field,geography
loans,has_field,product_type
loans,has_field,purpose
loans,has_field,currency
loans,has_field,origination_date
loans,has_field,maturity_date
loans,has_field,interest_rate
loans,has_field,repayment_type
loans,has_field,collateral_type

loan_applications,has_pk,application_id
loan_applications,has_fk,customer_id->customers.customer_id
loan_applications,has_field,application_date
loan_applications,has_field,amount_requested
loan_applications,has_field,status
loan_applications,has_field,product_type

write_offs,has_pk,write_off_id
write_offs,has_fk,loan_id->loans.loan_id
write_offs,has_field,as_of_date
write_offs,has_field,amount_written_off
write_offs,has_field,reason

credit_events,has_pk,event_id
credit_events,has_fk,loan_id->loans.loan_id
credit_events,has_field,as_of_date
credit_events,has_field,event_type
credit_events,has_field,event_details

loan_securities,has_pk,security_id
loan_securities,has_fk,loan_id->loans.loan_id
loan_securities,has_field,as_of_date
loan_securities,has_field,security_type
loan_securities,has_field,security_value
loan_securities,has_field,address
loan_securities,has_field,lien_type
loan_securities,has_field,ownership_details

liquidity_positions,has_pk,position_id
liquidity_positions,has_fk,customer_id->customers.customer_id
liquidity_positions,has_field,as_of_date
liquidity_positions,has_field,asset_type
liquidity_positions,has_field,amount
liquidity_positions,has_field,maturity_date

funding_sources,has_pk,funding_id
funding_sources,has_field,as_of_date
funding_sources,has_field,source_type
funding_sources,has_field,amount
funding_sources,has_field,cost

liquidity_metrics,has_pk,metric_id
liquidity_metrics,has_field,as_of_date
liquidity_metrics,has_field,LCR
liquidity_metrics,has_field,NSFR
liquidity_metrics,has_field,cash_inflows
liquidity_metrics,has_field,cash_outflows

liquidity_events,has_pk,event_id
liquidity_events,has_field,as_of_date
liquidity_events,has_field,event_type
liquidity_events,has_field,event_details

market_positions,has_pk,position_id
market_positions,has_fk,customer_id->customers.customer_id
market_positions,has_field,as_of_date
market_positions,has_field,desk
market_positions,has_field,instrument
market_positions,has_field,notional
market_positions,has_field,market_value

market_risk_metrics,has_pk,metric_id
market_risk_metrics,has_fk,position_id->market_positions.position_id
market_risk_metrics,has_field,as_of_date
market_risk_metrics,has_field,VaR
market_risk_metrics,has_field,SVaR
market_risk_metrics,has_field,expected_shortfall
market_risk_metrics,has_field,volatility

instrument_prices,has_pk,price_id
instrument_prices,has_field,instrument
instrument_prices,has_field,as_of_date
instrument_prices,has_field,price
instrument_prices,has_field,currency

market_events,has_pk,event_id
market_events,has_field,as_of_date
market_events,has_field,instrument
market_events,has_field,event_type
market_events,has_field,event_details

# Common concepts
panel_snapshot,applies_to,credit risk
panel_snapshot,applies_to,liquidity risk
panel_snapshot,applies_to,market risk
panel_snapshot,field,as_of_date

# Allowed values (from specs)
credit_rating,allowed_value,A
credit_rating,allowed_value,B
credit_rating,allowed_value,C
credit_rating,allowed_value,D
